Source	Size
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/Free.scala	4170
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqdetail/UseCaseStepTree.scala	4133
file:/shipreq/webapp-base-member/shipreq/webapp/base/event/ProjectTemplate.scala	4124
file:/shipreq/webapp-base/shipreq/webapp/base/feature/EditorStatus.scala	4109
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/AtomScan.scala	4100
file:/shipreq/webapp-base-member/shipreq/webapp/base/sort/SortMethod.scala	4097
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/DataLogic.scala	4000
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/StateSnapshot.scala	3992
file://localhome/doeraene/projects/scalajs-java-time/java/time/Instant.scala	3987
file:/shipreq/webapp-base-member/shipreq/webapp/base/protocol/websocket/SavedViewCmd.scala	3981
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/Data.scala	3980
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/RouteCmd.scala	3974
https:/raw.githubusercontent.com/julien-truffaut/Monocle/v1.6.0/core/monocle/Lens.scala	3956
https:/raw.githubusercontent.com/scala/v2.12.10/collection/mutable/ListBuffer.scala	3944
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/Selection.scala	3936
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/RouterConfig.scala	3925
https:/raw.githubusercontent.com/scala/v2.12.10/collection/IterableLike.scala	3925
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/ReqLookupPrompt.scala	3915
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/VdomNode.scala	3911
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/issues/MandatoryFields.scala	3898
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/Location.scala	3896
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/CheckboxList.scala	3852
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/components/TriStateCheckbox.scala	3839
file:/shipreq/webapp-base/shipreq/webapp/base/feature/tablenav/Movement.scala	3832
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/EditTheme.scala	3801
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/mutable/Register.scala	3767
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/StateT.scala	3758
file:/shipreq/webapp-base-member/shipreq/webapp/base/UiText.scala	3756
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/deletion/DeletionRestorationLogic.scala	3746
file:/shipreq/webapp-base/shipreq/webapp/base/feature/tablenav/Logic.scala	3704
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/issues/ReqTypeImplication.scala	3640
https:/raw.githubusercontent.com/scala/v2.12.10/collection/Traversable.scala	3631
file:/shipreq/base-util/shipreq/base/util/Optics.scala	3624
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlStyles.scala	3622
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/UseCaseStepLabelLookup.scala	3604
file:/shipreq/frontend/dist/prod/scala/AssetManifest.scala	3592
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/Column.scala	3560
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/builder/ViaReactComponent.scala	3538
https:/raw.githubusercontent.com/scala/v2.12.10/collection/MapLike.scala	3535
file:/shipreq/webapp-base/shipreq/webapp/base/feature/ErrorHandlingFeature.scala	3532
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/FeedbackModal.scala	3527
file:/shipreq/base-util/shipreq/base/util/ConsolidatedSeq.scala	3515
https:/raw.githubusercontent.com/japgolly/nyaya/v0.9.0/nyaya/util/Multimap.scala	3508
https:/raw.githubusercontent.com/scala/v2.12.10/util/Either.scala	3488
